block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
6,9600,dci_gated,4,edge,0,0.6967047823475951,1.0,0.7569970515426727,0.6,0.6326923076923078,0.7404794520492795,0,20,20,0,175.784,176.114,113.563
6,9600,dci_gated,5,edge,0,0.8762401663514459,1.0,0.5771305843635157,0.875,0.7573076923076923,0.8230823123067186,0,20,20,0,347.165,347.372,57.5752
6,9600,dci_gated,6,edge,0,0.8076437492376775,1.0,0.7369737822553901,0.75,0.6860256410256411,0.8022095399143436,0,20,20,0,306.351,306.622,65.2268
6,9600,dci_gated,7,geo,1,0.4869502132095658,1.0,0.01863033620496335,0.1875,0.6941025641025642,0.46707900515876877,1,20,20,0,5261.547,5261.989,3.8008
6,9600,dci_gated,8,geo,0,0.7812030903093062,1.0,0.5033492819847254,0.7166666666666667,0.8260256410256411,0.7632078084614512,0,20,20,0,1154.01,1154.499,17.3235
6,9600,dci_gated,9,geo,0,0.8690211795463849,1.0,0.65081740234751,0.9,0.7621794871794872,0.8417456984330213,0,20,20,0,1022.51,1022.856,19.5531
6,9600,dci_gated,10,geo,0,0.8285102730743008,1.0,0.6475702666320062,0.7166666666666667,0.7871794871794873,0.7980518780052329,0,20,20,0,893.766,894.057,22.3699
6,9600,dci_gated,11,geo,0,0.7809130863347852,1.0,0.589241197089216,0.6166666666666667,0.7941025641025642,0.7555252289502575,1,20,20,0,893.625,894.015,22.371
6,9600,dci_gated,12,geo,0,0.8790401157529194,1.0,0.7623256603337295,0.875,0.7907692307692309,0.8658405456203604,0,20,20,0,1549.962,1550.355,12.9003
6,9600,dci_gated,13,text,1,0.4646901314873517,1.0,0.022583312683995382,0.29545454545454547,0.8710256410256412,0.5104339506533923,1,20,20,0,1656.36,1656.588,12.073
6,9600,dci_gated,14,text,0,0.8584337438889352,1.0,0.5104210959206484,0.8333333333333333,0.7775641025641026,0.7999939372076456,0,20,20,0,314.158,314.353,63.6227
6,9600,dci_gated,15,text,0,0.8331384918117708,1.0,0.5785314126078189,0.7285714285714285,0.8342307692307693,0.7948398065734075,1,20,20,0,374.7,374.891,53.3488
6,9600,dci_gated,16,text,0,0.8353563238896815,1.0,0.6282345203775423,0.8,0.6875641025641026,0.7976206004325443,0,20,20,0,358.305,358.455,55.795
