analysis_timestamp_utc,run_id,window,S_R,S_V,S_T,S_A,S_P,HSM
2026-07-05T13:56:59Z,20260705T135649Z,3940,0.7011185094,1.0000000000,0.6978931265,0.2500000000,0.8461538462,0.6917813296
2026-07-05T13:56:59Z,20260705T135649Z,3941,0.7295870522,1.0000000000,0.7017406505,0.5000000000,0.8382051282,0.7484756624
2026-07-05T13:56:59Z,20260705T135649Z,3942,0.6251540513,1.0000000000,0.7131787952,0.2500000000,0.6419230769,0.6452127334
2026-07-05T13:56:59Z,20260705T135649Z,3943,0.7221149473,1.0000000000,0.7213875578,0.3333333333,0.7937179487,0.7105306073
2026-07-05T13:56:59Z,20260705T135649Z,3944,0.7677204728,1.0000000000,0.9295534250,0.5000000000,0.5950000000,0.7670908032
2026-07-05T13:56:59Z,20260705T135649Z,3945,1.0000000000,1.0000000000,0.9630288418,1.0000000000,0.6074358974,0.9337211530
2026-07-05T13:56:59Z,20260705T135649Z,3946,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.5920512821,0.7740427272
2026-07-05T13:56:59Z,20260705T135649Z,3947,0.7221149473,1.0000000000,0.6022693343,0.3333333333,0.5269230769,0.6466877319
2026-07-05T13:56:59Z,20260705T135649Z,3948,0.9389292606,1.0000000000,0.5410913388,1.0000000000,0.6357692308,0.8383159675
2026-07-05T13:56:59Z,20260705T135649Z,3949,0.7248934060,1.0000000000,0.2199349097,0.6666666667,0.7943589744,0.6776975129
2026-07-05T13:56:59Z,20260705T135649Z,3950,0.7113754386,1.0000000000,0.8812772764,0.5000000000,0.7811538462,0.7712723919
2026-07-05T13:56:59Z,20260705T135649Z,3951,0.8003084866,1.0000000000,0.8836035367,0.7500000000,0.6417948718,0.8230670598
2026-07-05T13:56:59Z,20260705T135649Z,3952,0.9694646303,1.0000000000,0.8695385445,1.0000000000,0.7039743590,0.9218700203
2026-07-05T13:56:59Z,20260705T135649Z,3953,0.5265566214,1.0000000000,0.0351686700,0.2000000000,0.6984615385,0.4834421201
