workload,config,seed,policy,n_windows,n_onsets,onsets_hit,recall,mean_lag,false_alarms,advisor_calls,frac_5d_windows,monitor_cost_ms_per_window
tpch,template_only,2,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,2,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,3,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,3,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,3,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,4,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,4,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,4,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,5,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,5,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,5,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,6,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,6,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,6,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,7,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,7,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,7,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,8,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,8,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,8,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,9,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,9,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,9,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,10,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,10,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,10,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,11,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,11,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,11,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,12,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,12,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,12,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,13,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,13,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,13,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,14,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,14,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
