workload,config,seed,dci,eff_rank,stable_rank,p1
tpch,mixed,32,1.976965818778254,2.160803201049423,1.631788901352326,0.6128243666636424
tpch,mixed,33,1.93608914802321,2.148369181310265,1.5749928473755628,0.6349235183298242
tpch,mixed,34,1.685210570535996,1.8467346128178257,1.392419884743049,0.7181741735787806
tpch,mixed,35,2.26284271163915,2.4781205025961346,2.0216420243240303,0.49464741431380105
tpch,mixed,36,1.8178856136659447,1.9300293337736392,1.5118257674901543,0.6614518825539945
tpch,mixed,37,1.9062747607990391,2.075642682276331,1.576458931030249,0.6343330487819806
tpch,mixed,38,1.8880410373516354,2.028241727920992,1.5692674322358453,0.637240013689209
tpch,mixed,39,2.1502363459314076,2.321305300336123,1.8640955926995237,0.5364531754253181
tpch,mixed,40,1.805485476253793,2.0196821428709146,1.4671191353974664,0.6816079048202748
tpch,mixed,41,2.3300692240136716,2.5599376100175624,1.8864364512287934,0.5301000197216379
tpch,mixed,42,1.7960235110235803,1.9286045787635648,1.4875084643692869,0.6722650821513184
tpch,mixed,43,2.242605593988689,2.4303324961547483,2.073948338945313,0.48217208752101354
tpch,mixed,44,2.1762279656933523,2.4645012055377853,1.683957683808542,0.5938391502441669
tpch,mixed,45,1.6141195856677182,1.8016110692647154,1.3394737899311637,0.7465618271271964
tpch,mixed,46,1.6503647016934757,1.8624180628151192,1.3598385659419123,0.7353814085331043
tpch,mixed,47,1.6985366745702777,1.8862548758921627,1.3974706026390118,0.7155785589418338
tpch,mixed,48,1.9131859678213416,2.095548093383399,1.573112557448126,0.6356824216203457
tpch,mixed,49,2.3624930764173935,2.594157138678797,1.9326152406781005,0.5174335682301294
pgbench,template_only,0,1.0457384196934914,1.1130702696695443,1.022881182988056,0.9776306541086082
pgbench,template_only,1,1.0000000000000002,1.0000000000000024,1.0000000000000002,0.9999999999999999
pgbench,template_only,2,1.0171594447041343,1.0502457072594078,1.0085803540124614,0.9914926421297758
pgbench,template_only,3,1.0301192575100704,1.0802689961130214,1.0150630457147152,0.9851604826140535
pgbench,template_only,4,1.0407271043685649,1.1028568207958227,1.020372003435653,0.9800347291310824
pgbench,template_only,5,1.017786246163513,1.0517805055168543,1.0088938265291292,0.9911845763198627
pgbench,template_only,6,1.0332728237674083,1.0871374911029261,1.0166410188972757,0.9836313717546772
pgbench,template_only,7,1.0000000000000004,1.000000000000004,1.0000000000000002,0.9999999999999999
pgbench,template_only,8,1.0608978033224252,1.1425521540807686,1.030477184390508,0.9704242026391547
pgbench,template_only,9,1.0882796322650066,1.191664961609412,1.0442261515152396,0.9576469604299179
pgbench,template_only,10,1.0350943603633862,1.0910424301452193,1.017552586350123,0.9827501923875182
pgbench,template_only,11,1.0376419074878802,1.096432668797256,1.0188276253857924,0.9815203034186837
pgbench,template_only,12,1.0000000000000004,1.0000000000000044,1.0000000000000002,0.9999999999999998
